Date : 2023-09-21 00:08:00
Directory : d:\WatchWithMe
Total : 131 files,  17864 codes, 1270 comments, 978 blanks, all 20112 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\WatchWithMe\tests\Feature\Auth\PasswordConfirmationTest.php                               | PHP                |         32 |          0 |         13 |         45 |
| d:\WatchWithMe\tests\Feature\Auth\PasswordResetTest.php                                      | PHP                |         50 |          0 |         22 |         72 |
| d:\WatchWithMe\tests\Feature\Auth\PasswordUpdateTest.php                                     | PHP                |         41 |          0 |         11 |         52 |
| d:\WatchWithMe\tests\Feature\Auth\RegistrationTest.php                                       | PHP                |         25 |          0 |          8 |         33 |
| d:\WatchWithMe\tests\Feature\ExampleTest.php                                                 | PHP                |         11 |          4 |          5 |         20 |
| d:\WatchWithMe\tests\Feature\ProfileTest.php                                                 | PHP                |         76 |          0 |         24 |        100 |
| d:\WatchWithMe\tests\TestCase.php                                                            | PHP                |          7 |          0 |          4 |         11 |
| d:\WatchWithMe\tests\Unit\ExampleTest.php                                                    | PHP                |         10 |          3 |          4 |         17 |
| d:\WatchWithMe\vendor\spatie\ignition\resources\compiled\ignition.css                        | CSS                |          1 |          2 |          0 |          3 |
| d:\WatchWithMe\vendor\spatie\ignition\resources\compiled\ignition.js                         | JavaScript         |          6 |          0 |          1 |          7 |
| d:\WatchWithMe\vite.config.js                                                                | JavaScript         |         13 |          0 |          2 |         15 |
| Total                                                                                        |                    |     17,864 |      1,270 |        978 |     20,112 |
+----------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
